RepoId,LangNum,AuthorNum,Age,CmmtNum,Vulb1Num,Vulb2Num,Vulb3Num,Vulb4Num,C,CPP,RUBY,JAVA,SHELL,PHP,CSHP,PYTHON,JAVASCRIPT,TYPESCRIPT
26516210,9,458,99,99,0,0,3,11,1,0,0,0,1,0,0,1,0,0
29207621,3,58,16,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10446890,7,63,56,46,2,0,0,0,1,1,1,1,1,0,0,0,0,0
15019962,4,1157,80,81,1,0,0,4,0,0,0,0,1,0,0,1,1,0
21600440,1,227,72,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1644196,18,1250,133,355,30,0,6,50,1,1,1,0,1,0,0,1,1,0
15452919,15,579,80,148,6,0,3,3,1,1,1,1,1,0,0,1,1,0
5239185,4,134,97,53,5,0,2,8,0,0,1,0,1,0,0,0,1,0
349241,2,318,130,19,2,0,0,6,0,0,0,0,0,0,0,0,1,0
18049133,5,170,69,13,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8575137,5,101,88,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0
26783295,4,228,69,88,0,0,0,1,0,0,0,0,1,0,0,0,0,0
27729880,25,694,69,665,24,0,13,97,1,1,1,1,1,1,1,1,1,0
2562751,3,145,155,22,0,0,0,5,0,0,0,1,0,0,0,0,0,0
25315643,9,115,40,152,0,0,0,9,0,0,0,0,1,1,0,1,1,0
3620194,3,527,101,25,1,0,0,3,0,0,0,0,0,0,0,0,1,0
317757,5,307,131,19,1,0,1,4,0,0,0,0,1,0,0,0,1,0
28167802,3,37,57,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1283503,2,345,118,19,3,0,2,3,0,0,0,0,1,0,0,0,1,0
873328,10,540,148,210,16,1,20,41,0,0,1,0,1,0,0,1,1,1
4578002,2,114,98,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0
481366,1,49,32,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3774328,4,1,86,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
858127,9,2287,133,177,14,0,2,37,1,0,0,0,1,0,0,1,0,0
6452529,16,209,131,255,20,0,19,81,1,1,1,1,1,0,0,1,1,0
25136308,2,66,69,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0
29891188,2,160,66,25,1,0,0,2,0,0,0,0,1,0,0,0,1,0
3577919,1,442,101,35,2,0,1,14,0,0,0,0,0,0,0,0,0,0
2579314,3,514,104,25,0,0,0,4,0,0,0,0,1,1,0,0,0,0
2329766,3,145,106,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3482588,9,165,102,9,0,1,2,1,0,0,0,1,1,1,0,1,0,0
458058,6,2745,128,390,2,47,4,15,0,0,0,0,1,1,0,0,1,0
11620669,3,9,79,7,0,0,0,3,0,0,0,0,0,0,1,0,0,0
3721224,4,193,101,17,4,0,0,6,0,0,0,0,0,0,0,1,1,0
1064563,8,569,145,68,40,0,0,6,1,1,0,1,1,0,0,0,0,0
313419,4,300,131,22,0,0,1,7,1,0,1,0,0,0,0,0,0,0
15585444,3,23,79,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1631024,5,120,105,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0
667561,3,210,122,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13840241,6,137,78,43,1,0,0,4,0,0,1,0,0,0,0,0,1,0
29887499,3,289,66,68,0,0,0,9,0,0,1,0,1,0,0,0,0,0
1864363,2,971,113,86,1,0,1,13,0,0,0,0,0,1,0,0,0,0
2500088,9,2830,107,972,10,5,60,335,0,0,1,0,1,0,0,0,1,0
5070389,2,27,92,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0
13078968,1,328,82,34,1,0,0,2,0,0,0,0,0,0,0,0,1,0
18280236,1,100,57,41,2,0,2,2,0,0,0,0,0,0,0,0,1,0
2096579,2,131,109,19,0,1,0,5,0,0,0,0,0,0,0,0,1,0
5532320,4,167,94,72,2,0,1,12,0,0,0,0,1,0,0,0,1,0
1801829,4,992,112,177,0,2,0,20,0,0,0,0,1,0,0,0,1,1
13584262,2,158,82,32,4,1,0,9,0,0,0,0,1,0,0,0,1,0
2541284,4,124,106,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3757512,2,277,101,69,1,0,4,6,0,0,0,0,0,0,0,0,1,0
8859474,3,50,89,14,0,0,0,5,0,0,0,1,1,0,0,0,0,0
24841635,2,271,70,20,0,0,0,2,0,0,0,0,1,0,0,0,1,0
1028340,6,471,125,62,1,0,0,28,0,0,0,0,1,0,0,0,1,0
790359,4,1018,121,72,4,1,0,6,0,0,0,0,0,0,0,0,1,1
3602123,3,101,88,13,1,0,1,1,0,0,0,0,0,0,0,0,1,0
23736449,1,16,31,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0
995750,2,68,107,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28751632,3,304,67,25,0,0,0,6,0,0,0,0,1,0,0,1,0,0
4037197,5,164,100,27,0,0,0,5,0,0,0,0,1,0,0,1,0,0
2700474,3,175,109,33,0,10,0,43,0,0,0,1,1,0,0,0,1,0
308770,2,666,131,28,0,0,0,2,0,0,1,0,0,0,0,0,0,0
9603240,3,65,87,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0
24635156,4,69,55,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1
17728164,6,1673,75,351,1,0,7,23,0,0,0,0,1,0,0,0,0,0
18044526,3,155,73,19,0,0,0,1,0,0,0,0,1,0,0,1,0,0
4484451,9,71,98,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0
20619036,6,188,74,59,0,3,0,1,0,0,0,0,1,1,0,1,0,0
16607898,8,297,78,47,0,0,0,9,0,0,0,0,1,0,0,0,0,0
25880891,13,828,69,156,0,0,0,1,1,1,1,0,1,0,0,1,1,0
7607075,5,155,88,12,0,0,0,1,0,0,0,0,1,0,0,1,0,0
11276147,4,126,85,13,0,0,0,3,1,1,0,0,0,0,0,0,0,0
597879,3,599,125,100,14,0,1,24,0,0,0,0,0,0,0,0,1,0
23069399,5,106,66,20,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1481305,2,452,113,19,1,0,0,6,0,0,0,0,0,0,0,0,0,0
29261473,10,269,69,101,1,0,0,7,0,0,1,1,1,1,0,0,1,0
958314,4,150,117,9,0,0,1,4,0,0,0,0,1,0,0,0,1,0
18840003,3,160,73,13,0,0,0,3,0,0,0,0,0,0,0,0,1,0
18275356,5,70,55,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0
23405758,3,54,114,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3606624,4,256,100,86,3,0,6,11,0,0,1,0,1,0,0,0,0,0
6988020,7,115,92,5,0,0,0,2,0,0,0,0,1,0,0,0,1,1
1580851,3,54,94,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18347476,4,76,96,28,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2056312,4,47,106,8,1,0,0,2,0,0,0,0,0,0,0,0,1,1
1254497,4,880,116,57,1,0,2,12,0,0,0,0,1,0,0,0,1,0
2810455,6,246,104,19,2,0,0,1,1,0,0,0,1,0,0,1,0,0
481872,10,1141,127,104,1,0,4,22,0,0,1,0,1,0,0,0,1,0
7212645,7,668,87,85,12,0,0,10,0,0,1,0,1,0,0,1,0,0
15308499,3,171,78,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0
20965586,3,152,69,10,0,0,0,2,0,0,1,0,0,0,0,0,0,0
9754983,32,964,88,223,1,4,0,9,0,1,1,1,1,0,0,1,1,1
20429943,2,271,74,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27574418,5,98,65,15,0,0,0,3,0,0,0,0,1,0,0,1,0,0
3431083,4,163,52,20,1,0,0,4,1,0,1,0,1,0,0,0,0,0
23338716,1,447,71,47,0,0,1,4,0,0,0,0,0,0,0,0,1,0
6766558,4,142,81,26,0,0,0,1,0,0,0,1,0,0,0,0,0,0
734934,4,253,121,21,0,0,4,3,0,0,0,0,0,0,0,0,1,0
1451352,4,514,108,31,2,0,2,4,0,0,0,0,0,0,0,0,1,0
